club_name,player_name,age,position,club_involved_name,fee,transfer_type,transfer_movement,transfer_period,fee_cleaned,year,season
Manchester United,Craig Lawton,22,Left Midfield,Port Vale,?,Transfer,out,Summer,NA,1994,1994/1995
Manchester United,Clayton Blackmore,29,Left-Back,Middlesbrough,?,Transfer,out,Summer,NA,1994,1994/1995
Manchester United,Bryan Robson,37,Central Midfield,Middlesbrough,?,Transfer,out,Summer,NA,1994,1994/1995
Crystal Palace,Darren Pitcher,24,Right-Back,Charlton,€890Th.,Transfer,in,Summer,0.89,1994,1994/1995
Crystal Palace,Ray Wilkins,37,Central Midfield,QPR,?,Transfer,in,Summer,NA,1994,1994/1995
Crystal Palace,Rhys Wilmot,32,Goalkeeper,Grimsby Town,?,Transfer,in,Summer,NA,1994,1994/1995
Crystal Palace,Sagi Burton,16,Centre-Back,Palace U18,-,Transfer,in,Summer,NA,1994,1994/1995
Crystal Palace,Steven Thomson,16,Central Midfield,Palace U18,-,Transfer,in,Summer,NA,1994,1994/1995
Crystal Palace,Jason Harris,17,attack,Palace U18,-,Transfer,in,Summer,NA,1994,1994/1995
Crystal Palace,Anthony Folan,15,Left Midfield,Palace U18,-,Transfer,in,Summer,NA,1994,1994/1995
Crystal Palace,Glen Little,18,Right Midfield,Palace U18,-,Transfer,in,Summer,NA,1994,1994/1995
Crystal Palace,Jason Harris,18,attack,Dover Athletic,"End of loanMay 31, 1995",Loan,in,Summer,NA,1994,1994/1995
Crystal Palace,Paul Williams,29,attack,Birmingham,"End of loanMay 31, 1995",Loan,in,Summer,NA,1994,1994/1995
Crystal Palace,David Whyte,23,attack,Charlton,€570Th.,Transfer,out,Summer,0.57,1994,1994/1995
Crystal Palace,Paul Mortimer,26,midfield,Charlton,€251Th.,Transfer,out,Summer,0.251,1994,1994/1995
Crystal Palace,Simon Osborn,22,Central Midfield,Reading,€150Th.,Transfer,out,Summer,0.15,1994,1994/1995
Crystal Palace,Stuart Massey,29,midfield,Oxford United,free transfer,Transfer,out,Summer,0,1994,1994/1995
Crystal Palace,Andy Thorn,27,Centre-Back,Wimbledon FC,?,Transfer,out,Summer,NA,1994,1994/1995
Crystal Palace,Andy Woodman,22,Goalkeeper,Exeter City,?,Transfer,out,Summer,NA,1994,1994/1995
Crystal Palace,Niall Thompson,20,attack,Colchester Utd.,?,Transfer,out,Summer,NA,1994,1994/1995
